Proteins,Shigella,Salmonella,Entry name,Status,Protein names,Length
Q2KHR3,0,1,QSER1_HUMAN,reviewed,Glutamine and serine-rich protein 1,1735
Q2M2I8,1,0,AAK1_HUMAN,reviewed,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),961
Q2M389,1,0,WASC4_HUMAN,reviewed,WASH complex subunit 4 (Strumpellin and WASH-interacting protein) (SWIP) (WASH complex subunit SWIP),1173
Q2TAY7,1,0,SMU1_HUMAN,reviewed,WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog) [Cleaved into: WD40 repeat-containing protein SMU1, N-terminally processed],513
Q2TBE0,0,1,C19L2_HUMAN,reviewed,CWF19-like protein 2,894
Q32MZ4,1,1,LRRF1_HUMAN,reviewed,Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (GC-binding factor 2) (TAR RNA-interacting protein),808
Q32P44,1,1,EMAL3_HUMAN,reviewed,Echinoderm microtubule-associated protein-like 3 (EMAP-3),896
Q32Q12,1,0,Q32Q12_HUMAN,unreviewed,Nucleoside diphosphate kinase (EC 2.7.4.6),292
Q3B726,1,0,RPA43_HUMAN,reviewed,DNA-directed RNA polymerase I subunit RPA43 (DNA-directed RNA polymerase I subunit F) (Twist neighbor protein),338
Q3KQU3,1,1,MA7D1_HUMAN,reviewed,MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1),841
Q3L8U1,0,1,CHD9_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein),2897
Q3MHD2,1,0,LSM12_HUMAN,reviewed,Protein LSM12 homolog,195
Q3SXM5,1,1,HSDL1_HUMAN,reviewed,Inactive hydroxysteroid dehydrogenase-like protein 1 (Short chain dehydrogenase/reductase family 12C member 3),330
Q3YEC7,1,1,RABL6_HUMAN,reviewed,Rab-like protein 6 (GTP-binding protein Parf) (Partner of ARF) (Rab-like protein 1) (RBEL1),729
Q49A26,1,0,GLYR1_HUMAN,reviewed,Putative oxidoreductase GLYR1 (EC 1.-.-.-) (3-hydroxyisobutyrate dehydrogenase-like protein) (Cytokine-like nuclear factor N-PAC) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60) (Nuclear protein of 60 kDa) (Nucleosome-destabilizing factor) (hNDF),553
Q4G0J3,1,1,LARP7_HUMAN,reviewed,La-related protein 7 (La ribonucleoprotein domain family member 7) (hLARP7) (P-TEFb-interaction protein for 7SK stability) (PIP7S),582
Q4J6C6,1,0,PPCEL_HUMAN,reviewed,Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like),727
Q4KMP7,0,1,TB10B_HUMAN,reviewed,TBC1 domain family member 10B (Rab27A-GAP-beta),808
Q4KMQ2,1,0,ANO6_HUMAN,reviewed,Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F),910
Q4LE39,0,1,ARI4B_HUMAN,reviewed,AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Breast cancer-associated antigen BRCAA1) (Histone deacetylase complex subunit SAP180) (Retinoblastoma-binding protein 1-like 1),1312
Q4VC31,0,1,CCD58_HUMAN,reviewed,Coiled-coil domain-containing protein 58,144
Q52LW3,1,0,RHG29_HUMAN,reviewed,Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29),1261
Q53EL6,1,1,PDCD4_HUMAN,reviewed,Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a),469
Q53ET0,0,1,CRTC2_HUMAN,reviewed,CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2),693
Q53EZ4,0,1,CEP55_HUMAN,reviewed,Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6),464
Q53GA4,1,0,PHLA2_HUMAN,reviewed,Pleckstrin homology-like domain family A member 2 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene C protein) (Imprinted in placenta and liver protein) (Tumor-suppressing STF cDNA 3 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 3 protein) (p17-Beckwith-Wiedemann region 1 C) (p17-BWR1C),152
Q53GQ0,1,0,DHB12_HUMAN,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1),312
Q53GS9,1,1,SNUT2_HUMAN,reviewed,U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K),565
Q53LP3,0,1,SWAHC_HUMAN,reviewed,Ankyrin repeat domain-containing protein SOWAHC (Ankyrin repeat domain-containing protein 57) (Protein sosondowah homolog C),525
Q53SF7,0,1,COBL1_HUMAN,reviewed,Cordon-bleu protein-like 1,1128
Q56NI9,0,1,ESCO2_HUMAN,reviewed,N-acetyltransferase ESCO2 (EC 2.3.1.-) (Establishment factor-like protein 2) (EFO2) (EFO2p) (hEFO2) (Establishment of cohesion 1 homolog 2) (ECO1 homolog 2),601
Q56P03,1,1,EAPP_HUMAN,reviewed,E2F-associated phosphoprotein (EAPP),285
Q58FF6,1,0,H90B4_HUMAN,reviewed,Putative heat shock protein HSP 90-beta 4,505
Q58FF8,1,0,H90B2_HUMAN,reviewed,Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b) (Heat shock protein 90Bb),381
Q58WW2,1,1,DCAF6_HUMAN,reviewed,DDB1- and CUL4-associated factor 6 (Androgen receptor complex-associated protein) (ARCAP) (IQ motif and WD repeat-containing protein 1) (Nuclear receptor interaction protein) (NRIP),860
Q5BIX2,0,1,CR025_HUMAN,reviewed,Uncharacterized protein C18orf25 (ARKadia-like protein 1),
Q5BJD5,1,0,TM41B_HUMAN,reviewed,Transmembrane protein 41B (Protein stasimon),291
Q5BKZ1,1,0,ZN326_HUMAN,reviewed,DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1),582
Q5F1R6,1,0,DJC21_HUMAN,reviewed,DnaJ homolog subfamily C member 21 (DnaJ homolog subfamily A member 5) (Protein GS3),531
Q5HYJ3,0,1,FA76B_HUMAN,reviewed,Protein FAM76B,339
Q5JSH3,1,1,WDR44_HUMAN,reviewed,WD repeat-containing protein 44 (Rabphilin-11),913
Q5JSZ5,1,1,PRC2B_HUMAN,reviewed,Protein PRRC2B (HLA-B-associated transcript 2-like 1) (Proline-rich coiled-coil protein 2B),2229
Q5JTD0,1,1,TJAP1_HUMAN,reviewed,Tight junction-associated protein 1 (Protein incorporated later into tight junctions) (Tight junction protein 4),557
Q5JTV8,1,0,TOIP1_HUMAN,reviewed,Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B),583
Q5JVF3,1,0,PCID2_HUMAN,reviewed,PCI domain-containing protein 2 (CSN12-like protein),399
Q5JVS0,0,1,HABP4_HUMAN,reviewed,Intracellular hyaluronan-binding protein 4 (IHABP-4) (IHABP4) (Hyaluronan-binding protein 4) (Ki-1/57 intracellular antigen),413
Q5M775,1,0,CYTSB_HUMAN,reviewed,Cytospin-B (Nuclear structure protein 5) (NSP5) (Sperm antigen HCMOGT-1) (Sperm antigen with calponin homology and coiled-coil domains 1),1068
Q5MNZ6,1,0,WIPI3_HUMAN,reviewed,WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45-like) (WDR45-like protein) (WD repeat-containing protein 45B) (WIPI49-like protein),344
Q5QJE6,1,0,TDIF2_HUMAN,reviewed,Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2),756
Q5QNW6,1,0,H2B2F_HUMAN,reviewed,Histone H2B type 2-F (H2B-clustered histone 18),126
Q5QNY5,0,1,Q5QNY5_HUMAN,unreviewed,Peroxin-19 (Peroxisomal biogenesis factor 19) (Peroxisomal farnesylated protein) (Fragment),235
Q5SNT2,1,0,TM201_HUMAN,reviewed,Transmembrane protein 201 (Spindle-associated membrane protein 1),666
Q5SRE5,1,1,NU188_HUMAN,reviewed,Nucleoporin NUP188 homolog (hNup188),1749
Q5SRQ6,1,0,Q5SRQ6_HUMAN,unreviewed,Casein kinase II subunit beta (CK II beta),234
Q5SSJ5,1,1,HP1B3_HUMAN,reviewed,Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74),553
Q5SW79,1,1,CE170_HUMAN,reviewed,Centrosomal protein of 170 kDa (Cep170) (KARP-1-binding protein) (KARP1-binding protein),1584
Q5T0N5,1,1,FBP1L_HUMAN,reviewed,Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1),605
Q5T0W9,1,0,FA83B_HUMAN,reviewed,Protein FAM83B,1011
Q5T1M5,1,1,FKB15_HUMAN,reviewed,FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL),1219
Q5T200,1,1,ZC3HD_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 13,1668
Q5T4S7,1,1,UBR4_HUMAN,reviewed,E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1),5183
Q5T5C0,1,1,STXB5_HUMAN,reviewed,Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1),1151
Q5T5H1,1,0,Q5T5H1_HUMAN,unreviewed,Alpha-endosulfine,187
Q5T5P2,0,1,SKT_HUMAN,reviewed,Sickle tail protein homolog,1943
Q5T5U3,1,0,RHG21_HUMAN,reviewed,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21),1958
Q5T5Y3,1,1,CAMP1_HUMAN,reviewed,Calmodulin-regulated spectrin-associated protein 1,1602
Q5T6F2,0,1,UBAP2_HUMAN,reviewed,Ubiquitin-associated protein 2 (UBAP-2),1119
Q5T8P6,1,1,RBM26_HUMAN,reviewed,RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26),1007
Q5T9A4,1,0,ATD3B_HUMAN,reviewed,ATPase family AAA domain-containing protein 3B (AAA-TOB3),648
Q5TAQ9,1,0,DCAF8_HUMAN,reviewed,DDB1- and CUL4-associated factor 8 (WD repeat-containing protein 42A),597
Q5TC63,1,0,GRTP1_HUMAN,reviewed,Growth hormone-regulated TBC protein 1 (TBC1 domain family member 6),336
Q5TDH0,1,1,DDI2_HUMAN,reviewed,Protein DDI1 homolog 2 (EC 3.4.23.-),399
Q5TGY3,1,0,AHDC1_HUMAN,reviewed,AT-hook DNA-binding motif-containing protein 1,1603
Q5U5Q3,0,1,MEX3C_HUMAN,reviewed,RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING finger protein 194) (RING-type E3 ubiquitin transferase MEX3C),659
Q5UIP0,1,1,RIF1_HUMAN,reviewed,Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog),2472
Q5VSL9,1,1,STRP1_HUMAN,reviewed,Striatin-interacting protein 1 (Protein FAM40A),837
Q5VT52,1,1,RPRD2_HUMAN,reviewed,Regulation of nuclear pre-mRNA domain-containing protein 2,1461
Q5VTB9,1,0,RN220_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF220 (EC 2.3.2.27) (RING finger protein 220) (RING-type E3 ubiquitin transferase RNF220),566
Q5VTL8,1,1,PR38B_HUMAN,reviewed,Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27),546
Q5VTR2,1,1,BRE1A_HUMAN,reviewed,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A),975
Q5VV41,1,1,ARHGG_HUMAN,reviewed,Rho guanine nucleotide exchange factor 16 (Ephexin-4),709
Q5VV42,0,1,CDKAL_HUMAN,reviewed,Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase),579
Q5VVJ2,1,0,MYSM1_HUMAN,reviewed,Histone H2A deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1),828
Q5VVQ6,1,1,OTU1_HUMAN,reviewed,Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2),348
Q5VVW2,1,0,GARL3_HUMAN,reviewed,GTPase-activating Rap/Ran-GAP domain-like protein 3,1013
Q5VW32,1,0,BROX_HUMAN,reviewed,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),411
Q5VW36,1,0,FOCAD_HUMAN,reviewed,Focadhesin,1801
Q5VWC4,1,1,Q5VWC4_HUMAN,unreviewed,26S proteasome non-ATPase regulatory subunit 4,380
Q5VWQ8,1,0,DAB2P_HUMAN,reviewed,Disabled homolog 2-interacting protein (DAB2 interaction protein) (DAB2-interacting protein) (ASK-interacting protein 1) (AIP-1) (DOC-2/DAB-2 interactive protein),1189
Q5VZ89,1,1,DEN4C_HUMAN,reviewed,DENN domain-containing protein 4C,1909
Q5VZK9,1,0,CARL1_HUMAN,reviewed,F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A),1371
Q5VZL5,1,1,ZMYM4_HUMAN,reviewed,Zinc finger MYM-type protein 4 (Zinc finger protein 262),1548
Q5W0H4,0,1,Q5W0H4_HUMAN,unreviewed,Translationally-controlled tumor protein,188
Q5XPI4,1,1,RN123_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF123 (EC 2.3.2.27) (Kip1 ubiquitination-promoting complex protein 1) (RING finger protein 123) (RING-type E3 ubiquitin transferase RNF123),1314
Q5XUX1,0,1,FBXW9_HUMAN,reviewed,F-box/WD repeat-containing protein 9 (F-box and WD-40 domain-containing protein 9),458
Q63HN8,1,0,RN213_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213),5207
Q63ZY3,1,1,KANK2_HUMAN,reviewed,KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein),851
Q641Q2,1,0,WAC2A_HUMAN,reviewed,WASH complex subunit 2A,1341
Q658P3,1,1,STEA3_HUMAN,reviewed,Metalloreductase STEAP3 (EC 1.16.1.-) (Dudulin-2) (Six-transmembrane epithelial antigen of prostate 3) (Tumor suppressor-activated pathway protein 6) (hTSAP6) (pHyde) (hpHyde),488
Q66GS9,0,1,CP135_HUMAN,reviewed,Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4),1140
Q66K74,0,1,MAP1S_HUMAN,reviewed,Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain],1059
Q66PJ3,1,1,AR6P4_HUMAN,reviewed,ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37),421
Q68CZ2,1,1,TENS3_HUMAN,reviewed,Tensin-3 (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6),1445
Q68CZ6,1,0,HAUS3_HUMAN,reviewed,HAUS augmin-like complex subunit 3,603
Q68D91,1,0,MBLC2_HUMAN,reviewed,Metallo-beta-lactamase domain-containing protein 2 (EC 3.-.-.-),279
Q68EM7,1,1,RHG17_HUMAN,reviewed,Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1),881
Q69YN4,1,1,VIR_HUMAN,reviewed,Protein virilizer homolog,1812
Q6AI08,1,1,HEAT6_HUMAN,reviewed,HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1),1181
Q6DKI1,0,1,RL7L_HUMAN,reviewed,60S ribosomal protein L7-like 1 (Large ribosomal subunit protein uL30-like 1),255
Q6DKJ4,1,0,NXN_HUMAN,reviewed,Nucleoredoxin (EC 1.8.1.8),435
Q6EMK4,1,0,VASN_HUMAN,reviewed,Vasorin (Protein slit-like 2),673
Q6FI13,1,0,H2A2A_HUMAN,reviewed,Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o),130
Q6FI81,1,0,CPIN1_HUMAN,reviewed,Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog),312
Q6GQQ9,1,1,OTU7B_HUMAN,reviewed,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Cezanne) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),843
Q6GYQ0,1,1,RGPA1_HUMAN,reviewed,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating Rap/Ran-GAP domain-like 1) (Tuberin-like protein 1) (p240),2036
Q6I9Y2,0,1,THOC7_HUMAN,reviewed,THO complex subunit 7 homolog (Functional spliceosome-associated protein 24) (fSAP24) (Ngg1-interacting factor 3-like protein 1-binding protein 1) (NIF3L1-binding protein 1) (hTREX30),204
Q6IA86,0,1,ELP2_HUMAN,reviewed,Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1),826
Q6IAA8,1,0,LTOR1_HUMAN,reviewed,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho),161
Q6IBW4,0,1,CNDH2_HUMAN,reviewed,Condensin-2 complex subunit H2 (Chromosome-associated protein H2) (hCAP-H2) (Kleisin-beta) (Non-SMC condensin II complex subunit H2),605
Q6ICB0,1,1,DESI1_HUMAN,reviewed,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Polyubiquitinated substrate transporter) (POST),168
Q6ICG6,1,1,K0930_HUMAN,reviewed,Uncharacterized protein KIAA0930,404
Q6IN85,0,1,P4R3A_HUMAN,reviewed,Serine/threonine-protein phosphatase 4 regulatory subunit 3A (SMEK homolog 1),833
Q6IQ22,1,0,RAB12_HUMAN,reviewed,Ras-related protein Rab-12,244
Q6KC79,1,1,NIPBL_HUMAN,reviewed,Nipped-B-like protein (Delangin) (SCC2 homolog),2804
Q6L8Q7,1,1,PDE12_HUMAN,reviewed,2',5'-phosphodiesterase 12 (2'-PDE) (2-PDE) (EC 3.1.4.-) (Mitochondrial deadenylase) (EC 3.1.13.4),609
Q6MZP7,0,1,LIN54_HUMAN,reviewed,Protein lin-54 homolog (CXC domain-containing protein 1),749
Q6NUK4,1,0,REEP3_HUMAN,reviewed,Receptor expression-enhancing protein 3,255
Q6NWY9,1,0,PR40B_HUMAN,reviewed,Pre-mRNA-processing factor 40 homolog B (Huntingtin yeast partner C) (Huntingtin-interacting protein C),871
Q6NXG1,1,0,ESRP1_HUMAN,reviewed,Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A),681
Q6NYC8,1,0,PPR18_HUMAN,reviewed,Phostensin (Protein phosphatase 1 F-actin cytoskeleton-targeting subunit) (Protein phosphatase 1 regulatory subunit 18),613
Q6NZI2,1,1,CAVN1_HUMAN,reviewed,Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor),390
Q6P0Q8,0,1,MAST2_HUMAN,reviewed,Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1),1798
Q6P158,1,1,DHX57_HUMAN,reviewed,Putative ATP-dependent RNA helicase DHX57 (EC 3.6.4.13) (DEAH box protein 57),1386
Q6P1J9,1,1,CDC73_HUMAN,reviewed,Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein),531
Q6P1M0,0,1,S27A4_HUMAN,reviewed,Long-chain fatty acid transport protein 4 (FATP-4) (Fatty acid transport protein 4) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain-fatty-acid--CoA ligase) (Solute carrier family 27 member 4) (Very long-chain acyl-CoA synthetase 4) (ACSVL4) (EC 6.2.1.-),643
Q6P1M3,1,0,L2GL2_HUMAN,reviewed,LLGL scribble cell polarity complex component 2 (HGL) (Lethal(2) giant larvae protein homolog 2),1020
Q6P1N0,1,0,C2D1A_HUMAN,reviewed,Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N),951
Q6P2D0,1,0,ZFP1_HUMAN,reviewed,Zinc finger protein 1 homolog (Zfp-1) (Zinc finger protein 475),407
Q6P2E9,1,0,EDC4_HUMAN,reviewed,Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls),1401
Q6P2Q9,1,0,PRP8_HUMAN,reviewed,Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220),2335
Q6P3S6,1,0,FBX42_HUMAN,reviewed,F-box only protein 42 (Just one F-box and Kelch domain-containing protein),717
Q6P452,1,0,Q6P452_HUMAN,unreviewed,Annexin,299
Q6P6C2,1,1,ALKB5_HUMAN,reviewed,RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),394
Q6P996,1,0,PDXD1_HUMAN,reviewed,Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-),788
Q6P9B6,1,0,MEAK7_HUMAN,reviewed,MTOR-associated protein MEAK7 (MEAK7) (MTOR associated protein, eak-7 homolog) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1),456
Q6PCD5,0,1,RFWD3_HUMAN,reviewed,E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201),774
Q6PCE3,0,1,PGM2L_HUMAN,reviewed,Glucose 1,6-bisphosphate synthase (EC 2.7.1.106) (PMMLP) (Phosphoglucomutase-2-like 1),622
Q6PD62,1,1,CTR9_HUMAN,reviewed,RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1),1173
Q6PH81,1,0,CP087_HUMAN,reviewed,UPF0547 protein C16orf87,154
Q6PID6,1,1,TTC33_HUMAN,reviewed,Tetratricopeptide repeat protein 33 (TPR repeat protein 33) (Osmosis-responsive factor),262
Q6PJF5,1,0,RHDF2_HUMAN,reviewed,Inactive rhomboid protein 2 (iRhom2) (Rhomboid 5 homolog 2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 5) (Rhomboid veinlet-like protein 6),856
Q6PJG2,1,1,MDEAS_HUMAN,reviewed,Mitotic deacetylase-associated SANT domain protein (ELM2 and SANT domain-containing protein 1),1045
Q6PJG6,1,0,BRAT1_HUMAN,reviewed,BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1),821
Q6PJT7,1,1,ZC3HE_HUMAN,reviewed,Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37),736
Q6PKG0,1,1,LARP1_HUMAN,reviewed,La-related protein 1 (La ribonucleoprotein domain family member 1),1096
Q6PL18,1,0,ATAD2_HUMAN,reviewed,ATPase family AAA domain-containing protein 2 (EC 3.6.1.-) (AAA nuclear coregulator cancer-associated protein) (ANCCA),1390
Q6QNY0,0,1,BL1S3_HUMAN,reviewed,Biogenesis of lysosome-related organelles complex 1 subunit 3 (BLOC-1 subunit 3),202
Q6R327,1,1,RICTR_HUMAN,reviewed,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3),1708
Q6RI45,1,0,BRWD3_HUMAN,reviewed,Bromodomain and WD repeat-containing protein 3,1802
Q6S8J3,1,0,POTEE_HUMAN,reviewed,POTE ankyrin domain family member E (ANKRD26-like family C member 1A) (Prostate, ovary, testis-expressed protein on chromosome 2) (POTE-2),1075
Q6SPF0,1,0,SAMD1_HUMAN,reviewed,Atherin (Sterile alpha motif domain-containing protein 1) (SAM domain-containing protein 1),538
Q6UN15,1,1,FIP1_HUMAN,reviewed,Pre-mRNA 3'-end-processing factor FIP1 (hFip1) (FIP1-like 1 protein) (Factor interacting with PAP) (Rearranged in hypereosinophilia),594
Q6UUV7,1,1,CRTC3_HUMAN,reviewed,CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3) (TORC-3) (Transducer of CREB protein 3),619
Q6UX71,1,0,PXDC2_HUMAN,reviewed,Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein),529
Q6UXN9,1,0,WDR82_HUMAN,reviewed,WD repeat-containing protein 82 (Protein TMEM113) (Swd2),313
Q6V0I7,1,0,FAT4_HUMAN,reviewed,Protocadherin Fat 4 (hFat4) (Cadherin family member 14) (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J),4981
Q6VMQ6,1,1,MCAF1_HUMAN,reviewed,Activating transcription factor 7-interacting protein 1 (ATF-interacting protein) (ATF-IP) (ATF7-interacting protein) (ATFa-associated modulator) (hAM) (MBD1-containing chromatin-associated factor 1) (P621),1270
Q6VN20,0,1,RBP10_HUMAN,reviewed,Ran-binding protein 10 (RanBP10),620
Q6W2J9,0,1,BCOR_HUMAN,reviewed,BCL-6 corepressor (BCoR),1755
Q6WCQ1,1,1,MPRIP_HUMAN,reviewed,Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip),1025
Q6XZF7,1,0,DNMBP_HUMAN,reviewed,Dynamin-binding protein (Scaffold protein Tuba),1577
Q6Y1H2,1,1,HACD2_HUMAN,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 2) (HACD2) (Protein-tyrosine phosphatase-like member B),254
